1,1,06/01/2009
1,2,06/01/2009
1,3,06/01/2009
1,4,06/01/2009
1,5,06/01/2009
1,6,06/01/2009
1,7,06/01/2009
1,8,06/01/2009
1,9,06/01/2009
1,10,06/01/2009
2,11,08/01/2009
2,12,08/01/2009
2,13,08/01/2009
2,14,08/01/2009
2,15,08/01/2009
2,16,08/01/2009
2,17,08/01/2009
2,18,09/01/2009
2,19,09/01/2009
2,20,09/01/2009
3,1,11/01/2009
3,10,11/01/2009
3,2,11/01/2009
3,11,11/01/2009
3,3,11/01/2009
3,12,11/01/2009
3,4,11/01/2009
3,13,12/01/2009
3,5,12/01/2009
3,14,12/01/2009
4,6,11/04/2009
4,15,11/04/2009
4,7,11/04/2009
4,16,11/04/2009
4,8,11/04/2009
4,17,11/04/2009
4,9,11/04/2009
4,18,11/04/2009
4,10,11/04/2009
4,1,11/04/2009
5,2,20/05/2009
5,3,20/05/2009
5,4,20/05/2009
5,5,20/05/2009
5,6,20/05/2009
5,7,20/05/2009
5,8,20/05/2009
5,9,20/05/2009
5,10,20/05/2009
5,11,20/05/2009
