1,1,06/01/2009
1,2,06/01/2009
1,3,06/01/2009
1,4,06/01/2009
1,5,06/01/2009
1,6,06/01/2009
1,7,06/01/2009
1,8,06/01/2009
1,9,06/01/2009
1,10,06/01/2009
2,2,08/01/2009
2,1,08/01/2009
2,3,08/01/2009
2,4,08/01/2009
2,5,08/01/2009
2,6,08/01/2009
2,7,08/01/2009
2,10,09/01/2009
2,11,09/01/2009
2,12,09/01/2009
3,10,11/01/2009
3,9,11/01/2009
3,8,11/01/2009
3,7,11/01/2009
3,6,11/01/2009
3,5,11/01/2009
3,4,11/01/2009
3,3,12/01/2009
3,12,12/01/2009
4,1,12/01/2009
4,2,11/04/2009
4,3,11/04/2009
4,8,11/04/2009
4,9,11/04/2009
4,10,11/04/2009
4,11,11/04/2009
4,20,11/04/2009
4,15,11/04/2009
4,14,11/04/2009
4,7,11/04/2009
5,1,20/05/2009
5,2,20/05/2009
5,3,20/05/2009
5,4,20/05/2009
5,5,20/05/2009
5,6,20/05/2009
5,10,20/05/2009
5,14,20/05/2009
5,15,20/05/2009
5,16,20/05/2009
